metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
snmp.devices_monitored,gauge,,,,Devices monitored count. Make 'sum by {X}' queries to count all the Devices with the tag X.,0,cisco,
snmp.sysUpTimeInstance,gauge,,,,The time (in hundredths of a second) since the network management portion of the system was last re-initialized.,0,cisco,
snmp.cefcFRUCurrent,gauge,,,,[Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] Current supplied by the FRU (positive values) or current required to operate the FRU (negative values).,0,cisco,
snmp.cefcFRUPowerAdminStatus,gauge,,,,[Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] Administratively desired FRU power state.,0,cisco,
snmp.cefcFRUPowerOperStatus,gauge,,,,[Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] Operational FRU power state.,0,cisco,
snmp.cieIfInputQueueDrops,gauge,,packet,,[Cisco c3850] The number of input packets dropped.,0,cisco,
snmp.cieIfLastInTime,gauge,,millisecond,,[Cisco c3850] The elapsed time in milliseconds since the last protocol input packet was received.,0,cisco,
snmp.cieIfLastOutTime,gauge,,millisecond,,[Cisco c3850] The elapsed time in milliseconds since the last protocol output packet was transmitted.,0,cisco,
snmp.cieIfOutputQueueDrops,gauge,,packet,,[Cisco c3850] The number of output packets dropped by the interface even though no error was detected to prevent them being transmitted.,0,cisco,
snmp.cieIfResetCount,count,,,,[Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] The number of times the interface was internally reset and brought up.,0,cisco,
snmp.cpmCPUMemoryFree,gauge,,,,[Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] The overall CPU wide system memory currently free.,0,cisco,
snmp.cpmCPUMemoryUsed,gauge,,,,[Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] The overall CPU wide system memory currently in use.,0,cisco,
snmp.cpmCPUTotalMonIntervalValue,gauge,,percent,,[Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] The overall CPU busy percentage in the last cpmCPUMonInterval period.,0,cisco,
snmp.cpmCPUTotal1minRev,gauge,,percent,,[Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] The overall CPU busy percentage in the last 1 minute period.,0,cisco,
snmp.devClientCount,gauge,,,,[Cisco Meraki] The number of clients currently associated with the device.,0,cisco,
snmp.devInterfaceRecvBytes,gauge,,byte,,[Cisco Meraki] The number of bytes received on this interface.,0,cisco,
snmp.devInterfaceRecvPkts,gauge,,packet,,[Cisco Meraki] The number of packets received on this interface.,0,cisco,
snmp.devInterfaceSentBytes,gauge,,byte,,[Cisco Meraki] The number of bytes sent on this interface.,0,cisco,
snmp.devInterfaceSentPkts,gauge,,packet,,[Cisco Meraki] The number of packets sent on this interface.,0,cisco,
snmp.devStatus,gauge,,,,[Cisco Meraki] The status of the device's connection to the Meraki Cloud Controller,0,cisco,
snmp.entSensorValue,gauge,,,,[Cisco c3850] [Cisco Nexus] The most recent measurement seen by the sensor.,0,cisco,
snmp.ifAdminStatus,gauge,,,,[Generic router] [F5 BIG-IP] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] The desired state of the interface.,0,cisco,
snmp.ifHCInBroadcastPkts,count,,packet,,[Generic router] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] The number of packets delivered by this sub-layer to a higher (sub-)layer that were addressed to a broadcast address at this sub-layer.,0,cisco,
snmp.ifHCInOctets,count,,,,[Generic router] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] The total number of octets received on the interface including framing characters.,0,cisco,
snmp.ifHCInUcastPkts,count,,packet,,[Generic router] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] The number of packets delivered by this sub-layer to a higher (sub-)layer that were not addressed to a multicast or broadcast address at this sub-layer.,0,cisco,
snmp.ifHCOutBroadcastPkts,count,,packet,,"[Generic router] [Cisco c3850]  [Cisco Nexus] [Cisco ASA 5525] The total number of packets that higher-level protocols requested be transmitted that were addressed to a broadcast address at this sub-layer, including those that were discarded or not sent.",0,cisco,
snmp.ifHCOutMulticastPkts,count,,packet,,[Generic router] [Cisco c3850]  [Cisco Nexus] [Cisco ASA 5525] The total number of packets that higher-level protocols requested be transmitted that were addressed to a multicast address at this sub-layer including those that were discarded or not sent.,0,cisco,
snmp.ifHCOutOctets,count,,,,[Generic router] [Cisco c3850] [Cisco Nexus] [Cisco ASA 5525] The total number of octets transmitted out of the interface including framing characters.,0,cisco,
snmp.ifHCOutUcastPkts,count,,packet,,[Generic router] [Cisco c3850]  [Cisco Nexus] [Cisco ASA 5525] The total number of packets higher-level protocols requested be transmitted that were not addressed to a multicast or broadcast address at this sub-layer including those that were discarded or not sent.,0,cisco,
snmp.ifInDiscards,count,,packet,,[Generic router] [Cisco c3850]  [Cisco Nexus] [Cisco ASA 5525] The number of inbound packets chosen to be discarded even though no errors had been detected to prevent them being deliverable to a higher-layer protocol.,0,cisco,
